respondent_id,role,age_group,venue_type,visits_per_week,usual_order_method,group_size_typical,vendor_orders_per_peak_hour,vendor_staff_on_shift,vendor_uses_pos,pain_long_queue,pain_wait_uncertainty,pain_ordering_multi_stalls,pain_order_accuracy,pain_slow_at_peak,pain_sales_records,pain_payment_hassle,ever_left_due_to_queue,ever_got_wrong_order,avoid_peak_hours,willingness_to_use_app,most_wanted_feature,comment
R044,Diner,25-34,Food court,4,Queue at counter,3.0,,,,5,4.0,5,3.0,4.0,1,3.0,Yes,No,Yes,5.0,Order-ahead pickup,Pre-order before I leave the office and collect on arrival.
R045,Diner,45-54,Food court,2,Queue at counter,2.0,,,,4,4.0,4,3.0,4.0,2,4.0,Yes,No,Yes,3.0,Order and pay from phone,"Queue plus finding a seat, very stressful during lunch hour."
R046,Diner,25-34,Food court,5,Mobile/QR,2.0,,,,5,5.0,5,2.0,3.0,1,3.0,Yes,No,Yes,5.0,Multi-stall single order,Let me order from three stalls in one go and pay once.
R047,Diner,35-44,Restaurant,2,Self-order kiosk,4.0,,,,1,1.0,2,3.0,3.0,1,4.0,Yes,No,No,4.0,Fast payment / split bill,"Queue damn long during lunch, I always give up and go elsewhere."
R048,Diner,25-34,Food court,4,Queue at counter,2.0,,,,5,4.0,4,2.0,3.0,1,3.0,Yes,No,Yes,5.0,Ready notification,Just tell me when it is ready so I can queue for another stall meanwhile.
R049,Diner,18-24,Food court,5,Queue at counter,1.0,,,,4,5.0,4,2.0,3.0,1,3.0,Yes,No,Yes,5.0,Order and pay from phone,"Cashless order and pay, skip the whole line."
R050,Diner,55+,Restaurant,1,Order from waiter,3.0,,,,3,3.0,2,3.0,4.0,2,4.0,No,Yes,No,3.0,Order and pay from phone,"Hard to flag the waiter, then order comes wrong."
R051,Diner,35-44,Food court,3,Queue at counter,3.0,,,,5,4.0,5,3.0,4.0,1,3.0,Yes,Yes,Yes,4.0,Order-ahead pickup,
R052,Diner,25-34,Food court,5,Mobile/QR,2.0,,,,5,5.0,4,2.0,3.0,1,3.0,Yes,No,Yes,5.0,Ready notification,Real-time wait time is the one thing I want.
R053,Diner,45-54,Restaurant,2,Order from waiter,4.0,,,,3,3.0,2,3.0,4.0,1,4.0,No,Yes,No,2.0,Fast payment / split bill,Splitting and paying should be doable from the phone.
R054,Diner,25-34,Food court,4,Queue at counter,2.0,,,,5,4.0,5,2.0,3.0,1,3.0,Yes,No,Yes,5.0,Multi-stall single order,Different cravings in the group means many queues. One cart please.
R055,Diner,18-24,Food court,5,Queue at counter,1.0,,,,4,5.0,4,2.0,3.0,1,3.0,Yes,No,Yes,5.0,Order and pay from phone,The chicken rice here is the best in Singapore.
R056,Diner,,Food court,3,Queue at counter,3.0,,,,5,4.0,4,3.0,4.0,1,3.0,Yes,No,Yes,4.0,Order-ahead pickup,Order ahead so lunch is ready when I reach.
R057,Diner,25-34,Restaurant,2,Self-order kiosk,4.0,,,,3,3.0,2,3.0,3.0,1,4.0,No,No,No,4.0,Fast payment / split bill,"The kiosk queue is also long during peak, defeats the purpose."
R058,Diner,25-34,Food court,5,Mobile/QR,2.0,,,,5,5.0,5,2.0,3.0,1,3.0,Yes,No,Yes,5.0,Multi-stall single order,"Order from multiple stalls, collect together, pay once."
R059,Diner,55+,Food court,2,Queue at counter,2.0,,,,4,4.0,3,3.0,4.0,2,4.0,Yes,No,No,3.0,Ready notification,
R060,Diner,35-44,Food court,3,Queue at counter,3.0,,,,5,4.0,5,3.0,4.0,1,3.0,Yes,Yes,Yes,4.0,Order and pay from phone,"Peak hour queue is unbearable, I plan my lunch around avoiding it."
R061,Diner,25-34,Food court,4,Queue at counter,2.0,,,,5,4.0,4,,3.0,1,3.0,Yes,No,Yes,5.0,Ready notification,"Notify me, I will go chope seat first."
R062,Diner,18-24,Food court,5,Mobile/QR,1.0,,,,4,5.0,4,2.0,3.0,1,3.0,Yes,No,Yes,5.0,Order and pay from phone,
R063,Diner,45-54,Restaurant,2,Order from waiter,4.0,,,,3,3.0,2,4.0,4.0,1,4.0,No,Yes,No,4.0,Fast payment / split bill,Wrong dishes arrive and then more waiting to fix.
R064,Diner,35-44,Food court,3,Queue at counter,3.0,,,,4,4.0,4,4.0,4.0,4,4.0,Yes,No,Yes,4.0,Multi-stall single order,
R065,Diner,25-34,Food court,5,Mobile/QR,2.0,,,,5,5.0,4,2.0,3.0,1,3.0,Yes,No,Yes,5.0,Ready notification,"Wait time and ready alert, that combo saves me daily."
R066,Diner,25-34,Restaurant,3,Order from waiter,4.0,,,,3,3.0,2,3.0,4.0,1,4.0,No,No,No,4.0,Order and pay from phone,Let me order and pay at the table without waving for staff.
R067,Diner,35-44,Food court,3,Queue at counter,3.0,,,,5,4.0,5,3.0,4.0,1,3.0,Yes,Yes,Yes,4.0,Order-ahead pickup,"Pre-order at 11.45, collect at 12, back to work by 12.15."
R068,Diner,55+,Food court,2,Queue at counter,2.0,,,,4,4.0,3,3.0,4.0,2,4.0,Yes,No,No,3.0,Order and pay from phone,Prices keep going up everywhere these days.
R069,Diner,25-34,Food court,5,Queue at counter,1.0,,,,5,5.0,4,2.0,3.0,1,3.0,Yes,No,Yes,5.0,Ready notification,Standing and waiting for food is dead time. Buzz me.
R070,Diner,18-24,Food court,4,Mobile/QR,2.0,,,,4,4.0,5,2.0,,1,3.0,Yes,No,Yes,5.0,Multi-stall single order,
R071,Diner,35-44,Restaurant,2,Self-order kiosk,4.0,,,,3,3.0,2,3.0,3.0,1,4.0,No,No,No,4.0,Fast payment / split bill,"Paying should be as fast as ordering, right now it is not."
R072,Diner,25-34,Food court,4,Queue at counter,2.0,,,,5,4.0,5,3.0,4.0,1,3.0,Yes,No,Yes,5.0,Order and pay from phone,Just want to skip the lunch queue with my phone.
